"ISO3_code","Time","PopFemale"
"ARG",2032,11850624
"ARG",2033,11868317
"ARG",2034,11873242
"ARG",2035,11867934
"ARG",2036,11853008
"ARG",2037,11833480
"ARG",2038,11809999
"ARG",2039,11782566
"ARG",2040,11749899
"ARG",2041,11712315
"ARG",2042,11671839
"ARG",2043,11628097
"ARG",2044,11581150
"ARG",2045,11533974
"ARG",2046,11489370
"ARG",2047,11448313
"ARG",2048,11409328
"ARG",2049,11368915
"ARG",2050,11327356
"ARG",2051,11287219
"ARG",2052,11248212
"ARG",2053,11209170
"ARG",2054,11168319
"ARG",2055,11123358
"ARG",2056,11075011
"ARG",2057,11024474
"ARG",2058,10972156
"ARG",2059,10915839
"ARG",2060,10853179
"ARG",2061,10785373
"ARG",2062,10713662
"ARG",2063,10637639
"ARG",2064,10557035
"ARG",2065,10472979
"ARG",2066,10389752
"ARG",2067,10312341
"ARG",2068,10246106
"ARG",2069,10189703
"ARG",2070,10139762
"ARG",2071,10094962
"ARG",2072,10050173
"ARG",2073,10004130
"ARG",2074,9957079
"ARG",2075,9909026
"ARG",2076,9859746
"ARG",2077,9809128
"ARG",2078,9757865
"ARG",2079,9706198
"ARG",2080,9654219
"ARG",2081,9601653
"ARG",2082,9548166
"ARG",2083,9493439
"ARG",2084,9437196
"ARG",2085,9379764
"ARG",2086,9321598
"ARG",2087,9262591
"ARG",2088,9203334
"ARG",2089,9144250
"ARG",2090,9084655
"ARG",2091,9025086
"ARG",2092,8966783
"ARG",2093,8908763
"ARG",2094,8851035
"ARG",2095,8793693
"ARG",2096,8736208
"ARG",2097,8678687
"ARG",2098,8621635
"ARG",2099,8565895
"ARG",2100,8510720
"ARM",1950,349830
"ARM",1951,364818
"ARM",1952,381432
"ARM",1953,398667
"ARM",1954,414112
"ARM",1955,426756
"ARM",1956,437399
"ARM",1957,446348
"ARM",1958,452480
"ARM",1959,457090
"ARM",1960,460976
"ARM",1961,465156
"ARM",1962,472443
"ARM",1963,482721
"ARM",1964,495398
"ARM",1965,510597
"ARM",1966,528417
"ARM",1967,548565
"ARM",1968,570675
"ARM",1969,593915
"ARM",1970,617531
"ARM",1971,642949
"ARM",1972,670885
